state,state_id,county_name,county_id,total_population,percent_non_white,hispanic,percent_hispanic,white,percent_white,black,percent_black,amer_indian,percent_ai,asian,percent_asian,nat_haw_pac_isl,percent_nh,other,percent_other
AL,1,CHOCTAW,23,15922,0.448247707,107,0.006720261,8724,0.547921115,6985,0.438701168,24,0.001507348,6,0.000376837,0,0,15,0.000942093
AL,1,CLARKE,25,27867,0.438332092,180,0.006459253,15519,0.556895252,11918,0.42767431,61,0.002188969,45,0.001614813,1,3.59E-05,10,0.000358847
AL,1,CLAY,27,14254,0.177634393,253,0.017749404,11616,0.814929143,2219,0.1556756,44,0.003086853,12,0.000841869,1,7.02E-05,3,0.000210467
AL,1,CLEBURNE,29,14123,0.055299852,198,0.014019684,13235,0.937123841,521,0.036890179,41,0.002903066,19,0.001345323,1,7.08E-05,1,7.08E-05
AL,1,COFFEE,31,43615,0.229875044,1183,0.027123696,32971,0.75595552,7950,0.18227674,386,0.008850166,409,0.009377508,40,0.000917116,58,0.001329818
AL,1,COLBERT,33,54984,0.183271496,618,0.011239633,44470,0.808780736,9096,0.165429943,195,0.003546486,127,0.002309763,11,0.000200058,30,0.000545613
AL,1,CONECUH,35,14089,0.443395558,102,0.007239691,7760,0.5507843,6091,0.432323089,27,0.001916389,16,0.001135638,5,0.000354887,6,0.000425864
AL,1,COOSA,37,12202,0.357154565,158,0.012948697,7742,0.63448615,4147,0.339862318,39,0.003196197,5,0.000409769,0,0,9,0.000737584
AL,1,COVINGTON,39,37631,0.137333559,292,0.00775956,32247,0.85692647,4618,0.122717972,180,0.00478329,64,0.001700725,3,7.97E-05,11,0.000292312
AL,1,CRENSHAW,41,13665,0.258616924,87,0.00636663,10042,0.734870106,3369,0.246542261,51,0.003732162,15,0.001097695,1,7.32E-05,11,0.000804976
AL,1,CULLMAN,43,77483,0.037104913,1688,0.021785424,73940,0.954273841,726,0.009369797,277,0.003574978,136,0.001755224,26,0.000335557,22,0.000283933
AL,1,DALE,45,49129,0.254004763,1642,0.033422215,35771,0.728103564,9902,0.201551019,285,0.005801054,518,0.010543671,67,0.001363757,65,0.001323047
AL,1,DALLAS,47,46365,0.641108623,290,0.006254718,16417,0.354081743,29201,0.629806966,47,0.001013696,157,0.003386175,4,8.63E-05,26,0.000560768
AL,1,DEKALB,49,64452,0.081440451,3578,0.055514181,58436,0.906659219,1064,0.016508409,478,0.007416372,105,0.001629119,13,0.0002017,11,0.00017067
AL,1,ELMORE,51,65874,0.225794698,805,0.012220299,50376,0.764732671,13505,0.2050126,272,0.004129095,232,0.003521875,9,0.000136624,51,0.000774205
AL,1,ESCAMBIA,53,38440,0.350130073,379,0.009859521,24575,0.639308012,11799,0.30694589,1153,0.029994797,93,0.002419355,10,0.000260146,25,0.000650364
AL,1,ETOWAH,55,103459,0.171217584,1763,0.017040567,84919,0.820798577,15120,0.14614485,329,0.003180004,428,0.004136904,27,0.000260973,47,0.000454286
AL,1,FAYETTE,57,18495,0.130575862,152,0.008218437,15994,0.864774263,2199,0.118896999,35,0.001892403,28,0.001513923,0,0,1,5.41E-05
AL,1,FRANKLIN,59,31223,0.120103786,2316,0.074176088,27268,0.873330558,1307,0.041860167,87,0.002786407,32,0.001024886,3,9.61E-05,5,0.000160138
AL,1,GENEVA,61,25764,0.132510479,453,0.017582673,22181,0.86092998,2725,0.105767738,187,0.00725819,32,0.001242043,6,0.000232883,11,0.000426952
AL,1,GREENE,63,9974,0.806998195,58,0.005815119,1898,0.190294766,7964,0.798476038,12,0.001203128,8,0.000802085,0,0,7,0.000701825
AL,1,HALE,65,17185,0.599418096,157,0.009135874,6803,0.39586849,10074,0.586208903,30,0.001745708,25,0.001454757,4,0.000232761,11,0.000640093
AL,1,HENRY,67,16310,0.339914152,249,0.015266708,10647,0.6527897,5247,0.321704476,33,0.002023299,10,0.000613121,1,6.13E-05,4,0.000245248
AL,1,HOUSTON,69,88787,0.267595481,1122,0.012636985,64312,0.724340275,21703,0.244438938,318,0.003581605,548,0.006172075,13,0.000146418,55,0.00061946
AL,1,JACKSON,71,53926,0.068427104,610,0.011311798,49200,0.912361384,2002,0.037124949,927,0.017190224,123,0.002280903,9,0.000166895,19,0.000352335
AL,1,JEFFERSON,73,662047,0.419338807,10284,0.01553364,379707,0.573534809,259623,0.392151917,1314,0.001984753,5909,0.008925348,125,0.000188808,367,0.000554341
AL,1,LAMAR,75,15904,0.134054327,207,0.013015594,13695,0.861104125,1899,0.119403924,15,0.000943159,9,0.000565895,0,0,2,0.000125755
AL,1,LAUDERDALE,77,87966,0.114839824,894,0.010163018,77240,0.878066526,8624,0.098037878,219,0.002489598,305,0.003467249,13,0.000147784,47,0.000534297
AL,1,LAWRENCE,79,34803,0.197051979,367,0.010545068,26899,0.772893141,4613,0.132546045,1839,0.052840272,33,0.000948194,3,8.62E-05,3,8.62E-05
AL,1,LEE,81,115092,0.259201333,1645,0.014292913,84298,0.732440135,25954,0.225506551,251,0.002180864,1864,0.016195739,19,0.000165085,99,0.000860181
AL,1,LIMESTONE,83,65676,0.167534563,1740,0.026493696,54142,0.824380291,8703,0.13251416,293,0.004461295,228,0.003471588,11,0.000167489,28,0.000426335
AL,1,LOWNDES,85,13473,0.739256269,85,0.006308914,3464,0.257106806,9841,0.730423811,15,0.001113338,15,0.001113338,3,0.000222668,1,7.42E-05
AL,1,MACON,87,24105,0.855092319,173,0.007176934,3331,0.138187098,20298,0.842065961,39,0.001617922,91,0.00377515,1,4.15E-05,10,0.000414852
AL,1,MADISON,89,276700,0.272649078,5226,0.018886881,196496,0.710140947,62602,0.226245031,2067,0.007470184,5107,0.018456812,140,0.000505963,300,0.001084207
AL,1,MARENGO,91,22539,0.526465202,219,0.009716491,10582,0.469497316,11581,0.513820489,19,0.000842983,37,0.001641599,2,8.87E-05,8,0.00035494
AL,1,MARION,93,31214,0.052444416,360,0.011533286,29387,0.941468572,1131,0.036233741,90,0.002883322,45,0.001441661,4,0.000128148,7,0.000224258
AL,1,MARSHALL,95,82231,0.079155062,4656,0.056620982,75081,0.913049823,1194,0.014520072,408,0.004961632,196,0.002383529,20,0.000243217,35,0.00042563
AL,1,MOBILE,97,399843,0.366056177,4887,0.012222297,249763,0.624652676,132845,0.332242905,2636,0.006592588,5599,0.014002996,79,0.000197578,319,0.000797813
AL,1,MONROE,99,24324,0.418845573,190,0.007811215,13962,0.574000987,9683,0.398084197,232,0.009537905,69,0.002836704,1,4.11E-05,13,0.000534452
AL,1,MONTGOMERY,101,223510,0.509037627,2665,0.011923404,107858,0.482564538,108146,0.483853071,530,0.002371259,2189,0.009793745,67,0.000299763,178,0.000796385
AL,1,MORGAN,103,111064,0.15606317,3645,0.032818915,92584,0.83360945,12383,0.111494274,727,0.006545775,491,0.004420874,25,0.000225095,62,0.000558237
AL,1,PERRY,105,11861,0.689233613,102,0.008599612,3642,0.307056741,8057,0.679285052,9,0.000758789,4,0.00033724,2,0.00016862,1,8.43E-05
AL,1,PICKENS,107,20949,0.437013699,147,0.007017041,11676,0.557353573,8940,0.42675068,24,0.001145639,22,0.001050169,5,0.000238675,17,0.000811495
AL,1,PIKE,109,29605,0.386961661,365,0.012328998,17790,0.600912008,10766,0.363654788,190,0.006417835,105,0.003546698,5,0.00016889,25,0.000844452
AL,1,RANDOLPH,111,22380,0.237801627,272,0.012153709,16940,0.756925827,4949,0.221134942,41,0.001831993,50,0.002234138,1,4.47E-05,9,0.000402145
AL,1,RUSSELL,113,49756,0.429596431,744,0.01495297,27925,0.561238846,20217,0.406322856,164,0.003296085,173,0.003476968,34,0.000683335,43,0.000864217
AL,1,SHELBY,117,143293,0.107876867,2910,0.02030804,126951,0.885953954,10570,0.073764943,441,0.00307761,1465,0.010223807,21,0.000146553,51,0.000355914
AL,1,ST. CLAIR,115,64742,0.097510118,686,0.010595904,57917,0.89458157,5253,0.081137438,233,0.0035989,108,0.00166816,17,0.000262581,16,0.000247135
AL,1,SUMTER,119,14798,0.737599698,165,0.011150155,3813,0.257669955,10718,0.724287066,14,0.000946074,15,0.00101365,2,0.000135153,1,6.76E-05
AL,1,TALLADEGA,121,80321,0.328730968,812,0.010109436,53399,0.66481991,25206,0.313815814,172,0.002141408,159,0.001979557,20,0.000249001,35,0.000435752
AL,1,TALLAPOOSA,123,41475,0.263266995,242,0.00583484,30342,0.731573237,10488,0.252875226,107,0.002579867,74,0.001784207,3,7.23E-05,5,0.000120555
AL,1,TUSCALOOSA,125,164875,0.316876422,2130,0.012918878,111367,0.67546323,48135,0.291948446,348,0.00211069,1506,0.009134193,19,0.000115239,107,0.000648976
AL,1,WALKER,127,70713,0.074922574,607,0.008583994,64855,0.91715809,4323,0.061134445,197,0.002785909,140,0.001979834,13,0.000183842,18,0.00025455
AL,1,WASHINGTON,129,18097,0.346797854,160,0.008841244,11673,0.645024037,4818,0.266231972,1282,0.070840471,10,0.000552578,5,0.000276289,1,5.53E-05
AL,1,WILCOX,131,13183,0.724341956,97,0.007357961,3611,0.273913373,9423,0.714784192,19,0.00144125,8,0.000606842,2,0.000151711,0,0
AL,1,WINSTON,133,24843,0.0246347,372,0.014974037,24055,0.968280803,93,0.003743509,107,0.004307048,30,0.001207584,2,8.05E-05,8,0.000322022
AR,5,ARKANSAS,1,20749,0.245698603,157,0.00756663,15516,0.747795074,4823,0.232444937,41,0.001975999,74,0.003566437,1,4.82E-05,2,9.64E-05
AR,5,ASHLEY,3,24209,0.304225701,776,0.032054195,16702,0.689908712,6506,0.268743029,34,0.001404436,39,0.001610971,7,0.000289149,3,0.000123921
AR,5,BAXTER,5,38386,0.019772833,385,0.010029698,37282,0.971239514,42,0.001094149,189,0.00492367,130,0.003386651,8,0.000208409,5,0.000130256
AR,5,BENTON,7,153406,0.118971879,13469,0.087799695,133094,0.867593184,558,0.003637407,2398,0.015631722,1644,0.01071666,127,0.000827869,55,0.000358526
AR,5,BOONE,9,33948,0.02212207,360,0.010604454,32907,0.969335454,39,0.001148816,230,0.006775068,107,0.003151879,8,0.000235655,7,0.000206198
AR,5,BRADLEY,11,12600,0.371349243,1040,0.082539683,7851,0.623095238,3598,0.285555556,24,0.001904762,7,0.000555556,1,7.94E-05,9,0.000714286
AR,5,CALHOUN,13,5744,0.251392756,86,0.014972145,4248,0.739554318,1342,0.233635097,12,0.002089136,2,0.000348189,0,0,2,0.000348189
AR,5,CARROLL,15,25357,0.111172484,2471,0.097448436,22249,0.877430295,25,0.000985921,209,0.0082423,98,0.003864811,14,0.000552116,2,7.89E-05
AR,5,CHICOT,17,14117,0.568676064,407,0.028830488,5980,0.423602748,7541,0.53417865,16,0.001133385,55,0.003896012,2,0.000141673,7,0.000495856
AR,5,CLARK,19,23546,0.254268241,566,0.024038053,17302,0.734816954,5166,0.219400323,97,0.004119596,145,0.006158158,9,0.000382231,4,0.00016988
AR,5,CLAY,21,17609,0.016979953,140,0.00795048,17177,0.975467091,29,0.001646885,113,0.006417173,14,0.000795048,0,0,3,0.000170367
AR,5,CLEBURNE,23,24046,0.01896368,282,0.011727522,23392,0.972802129,29,0.001206022,102,0.00424187,35,0.001455544,6,0.000249522,2,8.32E-05
AR,5,CLEVELAND,25,8571,0.152374286,139,0.016217478,7199,0.83992533,1124,0.13113989,26,0.003033485,12,0.00140007,1,0.000116673,4,0.00046669
AR,5,COLUMBIA,27,25603,0.376908955,269,0.010506581,15776,0.616177792,9205,0.35952818,62,0.002421591,87,0.003398039,6,0.000234348,21,0.000820216
AR,5,CONWAY,29,20336,0.15479937,359,0.017653423,16973,0.834628245,2649,0.130261605,80,0.00393391,47,0.002311172,6,0.000295043,7,0.000344217
AR,5,CRAIGHEAD,31,82148,0.108353215,1739,0.021169109,72489,0.882419535,6345,0.077238642,257,0.0031285,480,0.005843112,15,0.000182597,65,0.000791255
AR,5,CRAWFORD,33,53247,0.073299905,1743,0.032734239,48311,0.907299942,463,0.008695326,1039,0.019512836,619,0.011625068,10,0.000187804,29,0.000544632
AR,5,CRITTENDEN,35,50866,0.490386505,720,0.014154838,25643,0.504128494,23828,0.468446507,121,0.002378799,236,0.004639641,11,0.000216254,28,0.000550466
AR,5,CROSS,37,19526,0.250281663,181,0.009269692,14525,0.743879955,4608,0.235993035,39,0.001997337,53,0.00271433,1,5.12E-05,5,0.000256069
AR,5,DALLAS,39,9210,0.43072747,177,0.019218241,5193,0.563843648,3743,0.40640608,22,0.002388708,21,0.00228013,0,0,4,0.000434311
AR,5,DESHA,41,15341,0.497490384,485,0.031614627,7611,0.496121504,7044,0.459161723,51,0.003324425,45,0.002933316,4,0.000260739,3,0.000195554
AR,5,DREW,43,18723,0.295518881,329,0.01757197,13047,0.696843455,5071,0.270843348,44,0.002350051,79,0.004219409,3,0.000160231,7,0.000373872
AR,5,FAULKNER,45,86014,0.114981282,1509,0.017543656,75218,0.874485549,7261,0.08441649,428,0.004975934,609,0.007080243,22,0.000255772,61,0.000709187
AR,5,FRANKLIN,47,17771,0.034944573,310,0.017444151,16943,0.953407237,108,0.006077317,135,0.007596646,46,0.002588487,6,0.000337629,16,0.000900343
AR,5,FULTON,49,11642,0.016320221,62,0.005325545,11326,0.972856897,23,0.001975606,78,0.00669988,23,0.001975606,0,0,4,0.000343584
AR,5,GARLAND,51,88068,0.11454785,2254,0.025593859,76844,0.872553027,6829,0.077542354,507,0.005756915,431,0.004893946,20,0.000227097,47,0.000533679
AR,5,GRANT,53,16464,0.042456269,189,0.011479592,15663,0.951348397,406,0.024659864,72,0.004373178,22,0.001336249,5,0.000303693,5,0.000303693
AR,5,GREENE,55,37331,0.018938685,434,0.011625727,36145,0.968230157,48,0.001285795,147,0.003937746,61,0.001634031,4,0.00010715,13,0.000348236
AR,5,HEMPSTEAD,57,23587,0.390045365,1946,0.082503074,14108,0.598126086,7107,0.301310044,80,0.003391699,40,0.001695849,3,0.000127189,24,0.00101751
AR,5,HOT SPRING,59,30353,0.122393174,384,0.012651138,26295,0.866306461,3107,0.102362205,132,0.004348829,64,0.002108523,7,0.00023062,21,0.000691859
AR,5,HOWARD,61,14300,0.278321679,727,0.050839161,10220,0.714685315,3111,0.217552448,57,0.003986014,71,0.004965035,2,0.00013986,12,0.000839161
AR,5,INDEPENDENCE,63,34233,0.046446411,523,0.015277656,32253,0.942161073,685,0.020009932,140,0.004089621,216,0.006309701,9,0.000262904,17,0.000496597
AR,5,IZARD,65,13249,0.031323119,133,0.010038493,12702,0.958713865,189,0.014265228,75,0.005660805,13,0.000981206,3,0.000226432,2,0.000150955
AR,5,JACKSON,67,18418,0.191768929,234,0.012704963,14725,0.79948963,3210,0.174286025,50,0.002714736,32,0.001737431,1,5.43E-05,5,0.000271474
AR,5,JEFFERSON,69,84278,0.512968984,810,0.009611049,40475,0.48025582,41623,0.493877406,192,0.002278175,542,0.006431097,24,0.000284772,41,0.000486485
AR,5,JOHNSON,71,22781,0.088802078,1527,0.067029542,20512,0.900399456,303,0.013300557,128,0.005618717,54,0.002370396,2,8.78E-05,9,0.000395066
AR,5,LAFAYETTE,73,8559,0.379133076,88,0.010281575,5262,0.614791448,3106,0.362892861,31,0.003621918,19,0.002219886,1,0.000116836,0,0
AR,5,LAWRENCE,75,17774,0.016991112,121,0.006807697,17305,0.973613143,78,0.004388433,89,0.005007314,9,0.000506358,2,0.000112524,3,0.000168786
AR,5,LEE,77,12580,0.593799691,276,0.021939587,5074,0.403338633,7142,0.56772655,19,0.001510334,32,0.00254372,0,0,1,7.95E-05
AR,5,LINCOLN,79,14492,0.350745236,263,0.018147944,9315,0.642768424,4760,0.32845708,47,0.003243169,9,0.000621032,1,6.90E-05,3,0.000207011
AR,5,LITTLE RIVER,81,13628,0.246551217,235,0.01724391,10063,0.738406222,2891,0.212136777,196,0.014382154,25,0.001834458,4,0.000293513,9,0.000660405
AR,5,LOGAN,83,22486,0.030463356,273,0.012140888,21528,0.957395713,235,0.010450947,137,0.00609268,33,0.00146758,5,0.000222361,2,8.89E-05
AR,5,LONOKE,85,52828,0.09076626,922,0.017452866,47555,0.900185508,3393,0.064227304,238,0.004505187,212,0.004013023,15,0.00028394,15,0.00028394
AR,5,MADISON,87,14243,0.044723723,436,0.030611528,13462,0.945166046,15,0.001053149,166,0.011654848,9,0.000631889,8,0.000561679,3,0.00021063
AR,5,MARION,89,16140,0.018897151,122,0.00755886,15646,0.969392813,18,0.001115242,118,0.007311029,32,0.001982652,8,0.000495663,7,0.000433705
AR,5,MILLER,91,40443,0.25497614,641,0.015849467,29606,0.732042628,9250,0.22871696,245,0.006057909,150,0.003708924,6,0.000148357,20,0.000494523
AR,5,MISSISSIPPI,93,51979,0.354623983,1169,0.022489852,33037,0.635583601,16909,0.32530445,121,0.002327863,195,0.003751515,13,0.000250101,26,0.000500202
AR,5,MONROE,95,10254,0.404134971,132,0.012873025,6003,0.585430076,3964,0.386580846,25,0.002438073,12,0.001170275,2,0.000195046,9,0.000877706
AR,5,MONTGOMERY,97,9245,0.043374798,234,0.025310979,8740,0.945375879,27,0.002920498,103,0.011141157,34,0.003677664,1,0.000108167,2,0.000216333
AR,5,NEVADA,99,9955,0.329784027,151,0.015168257,6618,0.664791562,3088,0.310195881,36,0.003616273,6,0.000602712,0,0,2,0.000200904
AR,5,NEWTON,101,8608,0.020678438,93,0.010803903,8333,0.968052974,12,0.001394052,46,0.005343866,14,0.001626394,1,0.000116171,12,0.001394052
AR,5,OUACHITA,103,28790,0.397742272,210,0.007294199,17114,0.594442515,11084,0.38499479,69,0.002396666,67,0.002327197,7,0.00024314,14,0.00048628
AR,5,PERRY,105,10209,0.038593492,120,0.011754334,9711,0.951219512,177,0.017337643,82,0.008032129,13,0.001273386,1,9.80E-05,1,9.80E-05
AR,5,PHILLIPS,107,26445,0.605785565,382,0.014445075,10245,0.387407828,15495,0.585933069,45,0.001701645,80,0.003025147,2,7.56E-05,16,0.000605029
AR,5,PIKE,109,11303,0.078120853,403,0.035654251,10310,0.912147218,391,0.034592586,66,0.005839158,18,0.001592498,0,0,5,0.00044236
AR,5,POINSETT,111,25614,0.08897478,366,0.014289061,23172,0.904661513,1815,0.070859686,48,0.001873975,39,0.001522605,5,0.000195206,6,0.000234247
AR,5,POLK,113,20229,0.053784171,708,0.034999258,18836,0.931138465,32,0.001581887,286,0.014138119,42,0.002076227,12,0.000593208,8,0.000395472
AR,5,POPE,115,54469,0.059887276,1123,0.020617232,50535,0.927775432,1403,0.02575777,357,0.006554187,343,0.00629716,10,0.000183591,26,0.000477336
AR,5,PRAIRIE,117,9539,0.15022539,77,0.008072125,8060,0.844952301,1304,0.13670196,33,0.003459482,16,0.001677325,0,0,3,0.000314498
AR,5,PULASKI,119,361474,0.358825254,8816,0.024389029,227390,0.629063224,114732,0.317400422,1303,0.003604685,4440,0.012283041,115,0.000318142,300,0.000829935
AR,5,RANDOLPH,121,18195,0.024347348,149,0.008189063,17559,0.965045342,174,0.009563067,92,0.005056334,13,0.000714482,2,0.00010992,13,0.000714482
AR,5,SALINE,125,83529,0.045576985,1090,0.01304936,78968,0.94539621,1814,0.021717008,392,0.004692981,469,0.005614816,22,0.000263382,20,0.000239438
AR,5,SCOTT,127,10996,0.082939209,628,0.057111677,9953,0.905147326,24,0.002182612,153,0.013914151,104,0.009457985,1,9.09E-05,2,0.000181884
AR,5,SEARCY,129,8261,0.019852318,86,0.010410362,7993,0.967558407,3,0.000363152,61,0.007384094,11,0.001331558,1,0.000121051,2,0.000242101
AR,5,SEBASTIAN,131,115071,0.178368138,7710,0.067002112,92010,0.799593295,7011,0.060927601,1693,0.014712656,4016,0.034900192,33,0.000286779,62,0.000538798
AR,5,SEVIER,133,15757,0.263565399,3107,0.197182205,11423,0.724947642,757,0.04804214,257,0.016310211,21,0.001332741,6,0.000380783,5,0.000317319
AR,5,SHARP,135,17119,0.022781705,167,0.009755243,16503,0.96401659,84,0.004906829,113,0.006600853,21,0.001226707,3,0.000175244,2,0.000116829
AR,5,ST. FRANCIS,123,29329,0.543318908,1431,0.048791299,13224,0.45088479,14273,0.486651437,64,0.002182141,161,0.005489447,2,6.82E-05,4,0.000136384
AR,5,STONE,137,11499,0.019827811,124,0.010783546,11092,0.964605618,9,0.000782677,83,0.007218019,6,0.000521785,2,0.000173928,4,0.000347856
AR,5,UNION,139,45629,0.336518478,520,0.011396261,29950,0.65638081,14543,0.318722742,102,0.00223542,173,0.003791448,4,8.77E-05,13,0.000284907
AR,5,VAN BUREN,141,16192,0.026865119,215,0.013278162,15550,0.960350791,50,0.003087945,118,0.007287549,39,0.002408597,4,0.000247036,9,0.00055583
AR,5,WASHINGTON,143,157715,0.136378911,12932,0.081996005,133368,0.845626605,3408,0.021608598,1839,0.011660273,2396,0.01519196,820,0.005199252,114,0.000722823
AR,5,WHITE,145,67165,0.062458126,1264,0.018819326,62177,0.92573513,2389,0.035569121,278,0.004139061,210,0.003126628,17,0.000253108,37,0.000550882
AR,5,WOODRUFF,147,8741,0.317469396,69,0.007893834,5899,0.674865576,2671,0.305571445,19,0.002173664,6,0.00068642,9,0.00102963,1,0.000114403
AR,5,YELL,149,21139,0.153129282,2691,0.127300251,17650,0.834949619,296,0.014002555,105,0.004967122,144,0.006812054,1,4.73E-05,0,0
AZ,4,APACHE,1,69423,0.813332757,3119,0.044927474,12281,0.176901027,163,0.002347925,53036,0.763954309,85,0.001224378,30,0.000432133,31,0.000446538
AZ,4,COCHISE,3,117755,0.378030656,36134,0.306857458,70754,0.600857713,5062,0.042987559,978,0.00830538,1876,0.015931383,271,0.002301388,194,0.001647488
AZ,4,COCONINO,5,116320,0.408854883,12727,0.109413686,66969,0.575730743,1150,0.00988652,32557,0.279891678,896,0.007702889,100,0.000859697,128,0.001100413
AZ,4,GILA,7,51335,0.300048699,8546,0.166475114,35391,0.689412681,174,0.0033895,6412,0.124905036,211,0.004110256,24,0.000467517,36,0.000701276
AZ,4,GRAHAM,9,33489,0.4388008,9054,0.270357431,18488,0.552061871,602,0.017976052,4819,0.143897996,182,0.00543462,10,0.000298606,28,0.000836095
AZ,4,GREENLEE,11,8547,0.451386452,3681,0.430677431,4604,0.538668539,34,0.003978004,117,0.013689014,12,0.001404001,1,0.000117,13,0.001521002
